date,micro_total,Creditos,ratio,micro_yoy,agg_yoy
2016-01-01,71434595.5977214,74464683.0441268,0.959308395301839,,
2016-02-01,70044235.5987588,72938990.619367,0.960312653136173,,
2016-03-01,69227873.1578482,72131310.5510649,0.959747890742104,,
2016-04-01,68410391.3901075,71220044.1898105,0.960549690306076,,
2016-05-01,68547780.3016623,71304365.9516436,0.961340576931142,,
2016-06-01,67478537.4280675,70369590.5013307,0.958916158916562,,
2016-07-01,67269001.9464409,70062803.2260185,0.960124329159868,,
2016-08-01,67198575.8916632,69989802.0798882,0.960119530198999,,
2016-09-01,67545938.728219,70600951.4639804,0.956728448095774,,
2016-10-01,68678347.0636808,71738451.6719583,0.95734359277406,,
2016-11-01,70050293.6354186,73167104.1436276,0.957401477826829,,
2016-12-01,70660592.5263965,73717030.1561835,0.958538242475159,,
2017-01-01,70460559.6183361,73516283.9537399,0.958434728048462,-1.36353537279119,-1.27362267804857
2017-02-01,68326968.4583615,71134424.1862399,0.960533092662307,-2.45168945840816,-2.47407650942725
2017-03-01,69200113.2142565,72124185.554642,0.959457811302837,-0.0400993737427635,-0.00987781362693507
2017-04-01,68870356.5618374,71613274.6277672,0.961698189613769,0.672361555581369,0.552134504309843
2017-05-01,68677600.8041278,71659449.510244,0.958388618298135,0.189386880062514,0.497982912913453
2017-06-01,68899305.5136328,71906477.9285173,0.958179394937493,2.10551108503192,2.18402212694053
2017-07-01,69020684.3352722,72301308.5242962,0.954625659535311,2.60399639974738,3.1949981947716
2017-08-01,70375708.4243632,73742583.8345859,0.954342860866186,4.72797598839316,5.36189793823694
2017-09-01,71086181.1049821,74673406.5420843,0.951961138466604,5.24123647316206,5.7682722309792
2017-10-01,71400724.6530098,75383883.4554391,0.947161666130084,3.96395327744958,5.08155905029912
2017-11-01,72864532.6447419,76827185.9831522,0.948421209397421,4.01745497880446,5.00235984786261
2017-12-01,73388561.9379358,77222780.6828951,0.950348605540326,3.8606659157582,4.75568605963102
2018-01-01,73504389.3441609,77312896.518943,0.950739044244074,4.31990569236498,5.16431511635191
2018-02-01,73762868.13973,77671848.002372,0.949673144605461,7.9557161747652,9.19023931228597
2018-03-01,74149085.2926349,78322937.7256459,0.946709705302023,7.15168205441437,8.59455413372761
2018-04-01,74155616.6483533,78400732.7627262,0.945853616863245,7.67421623811453,9.47793292547923
2018-05-01,75867587.9048149,80210430.3191375,0.945856886728527,10.469187939738,11.9328028157279
2018-06-01,76098178.6857998,80275493.2888501,0.947962766319987,10.4483972929779,11.6387502231058
2018-07-01,77171495.77923,81582431.521461,0.945932774250904,11.8092301205893,12.8367289425281
2018-08-01,79128335.5246876,83549260.0429325,0.947086012300131,12.4370003461228,13.2985253545554
2018-09-01,80827734.4271042,85305670.5679332,0.947507169089504,13.7038636352337,14.2383540783783
