"horizon","coef_high","se_high","p_high","ci_high_lo","ci_high_hi","coef_low","se_low","p_low","ci_low_lo","ci_low_hi","diff_p","n_obs","threshold_sd","pct_crisis"
1,-3.10621877925915,1.11952223366584,0.00583340235971777,-4.94766898575723,-1.26476857276107,-2.14896588930113,1.05507928764412,0.0424485390537664,-3.88441688230393,-0.413514896298321,0.145610197934987,345,1,13.2183908045977
2,-3.92784162091936,1.45465124407543,0.00727865887747881,-6.3205299956863,-1.53515324615241,-2.12419689811613,1.21492612715241,0.0812997986161771,-4.12257254484088,-0.12582125139138,0.061437203357797,344,1,13.2183908045977
3,-5.35029616495802,1.58806595008314,0.000841620649034932,-7.96243220279041,-2.73816012712564,-2.91945301215905,1.33450633114395,0.0293805337047914,-5.11452059113087,-0.724385433187235,0.0654169372884126,343,1,13.2183908045977
4,-7.54936347958766,2.00065951624887,0.000190279059654387,-10.8401555411846,-4.25857141799073,-4.67439017185914,1.42203605042264,0.00111917803177216,-7.01343132705256,-2.33534901666572,0.0823371475559475,342,1,13.2183908045977
5,-8.45427269113014,2.23692147982669,0.000186036707285907,-12.1336811004287,-4.77486428183155,-5.23098748152041,1.68899272979731,0.00211930151050176,-8.00913329902218,-2.45284166401865,0.0926919403879451,341,1,13.2183908045977
6,-8.27788871416586,2.39421434807675,0.000615822670565371,-12.2160208682992,-4.33975656003256,-4.89820818785487,1.99823139510525,0.0147471357875963,-8.18500634558204,-1.61141003012769,0.118692087120265,340,1,13.2183908045977
7,-9.70908773041457,2.44629961279771,8.84811495628318e-05,-13.7328925211349,-5.68528293969428,-6.16381361706731,2.05411672419425,0.00289674773048638,-9.54253496103989,-2.78509227309473,0.151521439394154,339,1,13.2183908045977
8,-11.1783135326243,2.53699193210308,1.42207329098025e-05,-15.3512939136907,-7.00533315155796,-7.61808375159278,2.16511425242418,0.000494370821450755,-11.179379782457,-4.05678772072854,0.190609359872364,338,1,13.2183908045977
9,-10.7499639190686,2.86873629395436,0.000210860283892545,-15.4686152169467,-6.03131262119043,-7.25977171070311,2.32122319552952,0.00191905928111395,-11.0778441028337,-3.4416993185725,0.23999609454076,337,1,13.2183908045977
10,-11.2233629337447,3.2008844074541,0.000517185278981174,-16.488349260798,-5.95837660669145,-8.09623127875404,2.50275398691755,0.00133991902821319,-12.2128952515026,-3.97956730600545,0.317801606212735,336,1,13.2183908045977
11,-12.5869816985499,3.41043102977346,0.00026163167092825,-18.1966415473406,-6.97732184975915,-9.93961874936395,2.77356344305454,0.000390000557431406,-14.5017246382522,-5.37751286047569,0.414740167274018,335,1,13.2183908045977
12,-11.3350803756934,3.3869221716696,0.000912686764452123,-16.9060715939665,-5.76408915742028,-9.5163427540944,2.8684076692623,0.00100972923934125,-14.2344535124559,-4.79823199573288,0.583752584155824,334,1,13.2183908045977
13,-10.826909788512,3.51206327728697,0.0022252873219761,-16.6037398082406,-5.0500797687835,-10.1134966540706,3.11210535673872,0.00127529461201482,-15.2324544375574,-4.99453887058382,0.82890844838946,333,1,13.2183908045977
14,-9.80350685115554,3.41108524054351,0.00431902067953842,-15.4142427809042,-4.19277092140691,-10.2506254947376,3.17405770200227,0.0013663810753026,-15.4714858180293,-5.02976517144589,0.890870392729989,332,1,13.2183908045977
15,-9.2310989586288,3.37394905424235,0.00656096423901988,-14.7807512976488,-3.68144661960879,-10.8476041718648,3.32576049765684,0.00122505707369037,-16.3179933888076,-5.37721495492204,0.617037390750354,331,1,13.2183908045977
16,-7.23932619132095,3.27972139309036,0.027993753176013,-12.633987820136,-1.84466456250593,-9.96360909234139,3.23297591821023,0.00223354912358459,-15.2813812572563,-4.64583692742653,0.400130388106969,330,1,13.2183908045977
17,-5.916164970759,3.2262770117456,0.0676120193895832,-11.2229184150789,-0.609411526439095,-9.74572740062477,3.22647159450358,0.00272447456655083,-15.0528009050999,-4.43865389614965,0.236852667707504,329,1,13.2183908045977
18,-4.91336774552288,3.24829847640845,0.131362784913474,-10.2563432758642,0.429607784818492,-9.54834033025215,3.31364365080169,0.00422327428579353,-14.998799107698,-4.09788155280627,0.154943690169587,328,1,13.2183908045977
19,-3.5617027366975,3.08393606413384,0.248981756146427,-8.6343261570745,1.5109206836795,-9.12186944563607,3.33724897345466,0.0066169534923438,-14.611155523663,-3.6325833676091,0.0905585896167215,327,1,13.2183908045977
20,-2.67904628980252,2.99212516295689,0.371264617350201,-7.60065421638493,2.24256163677989,-9.01693905927904,3.5922166811939,0.0125617212868077,-14.9256096961364,-3.10826842242168,0.055865746336313,326,1,13.2183908045977
21,-1.63845029694328,2.64781472286142,0.536494079745617,-5.99371794733738,2.71681735345083,-8.60255762425135,3.56667664304548,0.0164328074232217,-14.4692186367278,-2.7358966117749,0.0383207894506394,325,1,13.2183908045977
22,-0.397129342118197,2.32860196729914,0.864690705526796,-4.22733873375652,3.43308004952012,-7.97261214880932,3.49504383816455,0.0232023285846469,-13.7214476823687,-2.22377661524996,0.0274721263295904,324,1,13.2183908045977
23,1.2765736644889,2.35183150493597,0.587649075842916,-2.59184491638378,5.14499224536157,-6.75225838868256,3.29717050674633,0.0413939480554016,-12.1756212553817,-1.32889552198344,0.0199147229432364,323,1,13.2183908045977
24,2.23553206687439,2.24087655016542,0.319229381021566,-1.4503818542157,5.92144598796449,-6.0479202502432,3.29306116046983,0.0672133374344701,-11.464523843815,-0.631316656671387,0.0159180959699214,322,1,13.2183908045977
1,-2.75868224629253,1.10850278223932,0.0133021081681888,-4.58200706814467,-0.935357424440383,-2.45201560519932,1.01754566426593,0.0164963803123687,-4.12572928165588,-0.778301928742759,0.555935177327135,345,1.5,4.88505747126437
2,-2.98246042248838,1.33661328754995,0.0263129137329893,-5.18099363634644,-0.78392720863031,-2.8144685235681,1.21496681809916,0.0211286080819583,-4.8129111009442,-0.816025946192006,0.813552883311683,344,1.5,4.88505747126437
3,-3.87218085384544,1.38855295699894,0.00559354351645822,-6.15614722137934,-1.58821448631154,-3.931563581565,1.31475113228059,0.0029916650137877,-6.09413675003529,-1.76899041309472,0.949607010490593,343,1.5,4.88505747126437
4,-5.60028598082189,1.59001802515207,0.000487215819842943,-8.21563289641148,-2.9849390652323,-5.95148528215447,1.48751032553718,7.7637278212396e-05,-8.39822203624207,-3.50474852806687,0.772387625230486,342,1.5,4.88505747126437
5,-6.09136206373051,1.75684156783185,0.000594411256329646,-8.98110928855783,-3.20161483890319,-6.74888096872633,1.75944812272625,0.000149541534309544,-9.64291559482556,-3.8548463426271,0.662886899789348,341,1.5,4.88505747126437
6,-5.75890515744074,1.97125481703004,0.00372134718317505,-9.00133079287816,-2.51647952200332,-6.50434177376498,1.98754490873982,0.00117722853404272,-9.7735622256346,-3.23512132189536,0.665108638961341,340,1.5,4.88505747126437
